year,state,district,block,school_code,school_name,grade,subject,level,percentage,n_students,is_simulated
2008,Bihar,Bihar,Motipur,BIHMOT0003,Govt Middle School Motipur Colony 3,5,reading,story,68.6,190,True
2008,Bihar,Bihar,Sakra,BIHSAK0004,Govt Elementary School Sakra Ward 4,5,math,division,56.3,73,True
2008,Bihar,Bihar,Sakra,BIHSAK0004,Govt Elementary School Sakra Ward 4,5,reading,story,70.8,73,True
2008,Bihar,Bihar,Bochaha,BIHBOC0005,Govt Primary School Bochaha Basti 5,5,math,division,45.8,74,True
2008,Bihar,Bihar,Bochaha,BIHBOC0005,Govt Primary School Bochaha Basti 5,5,reading,story,61.8,74,True
2008,Bihar,Bihar,Aurai,BIHAUR0006,Govt Upper Primary School Aurai Khurd 6,5,math,division,30.7,120,True
2008,Bihar,Bihar,Aurai,BIHAUR0006,Govt Upper Primary School Aurai Khurd 6,5,reading,story,45.4,120,True
2008,Bihar,Bihar,Paroo,BIHPAR0007,Panchayati Raj Primary School Paroo Kalan 7,5,math,division,38.9,111,True
2008,Bihar,Bihar,Paroo,BIHPAR0007,Panchayati Raj Primary School Paroo Kalan 7,5,reading,story,67.6,111,True
2008,Bihar,Bihar,Gaighat,BIHGAI0008,Govt Middle School Gaighat Pura 8,5,math,division,40.0,64,True
2008,Bihar,Bihar,Gaighat,BIHGAI0008,Govt Middle School Gaighat Pura 8,5,reading,story,58.3,64,True
2008,Bihar,Bihar,Sahebganj,BIHSAH0009,Govt Elementary School Sahebganj Chak 9,5,math,division,46.6,200,True
2008,Bihar,Bihar,Sahebganj,BIHSAH0009,Govt Elementary School Sahebganj Chak 9,5,reading,story,71.7,200,True
2008,Bihar,Bihar,Muzaffarpur Sadar,BIHMUZ0010,Govt Primary School Muzaffarpur Sadar Tola 10,5,math,division,39.7,243,True
2008,Bihar,Bihar,Muzaffarpur Sadar,BIHMUZ0010,Govt Primary School Muzaffarpur Sadar Tola 10,5,reading,story,60.3,243,True
2008,Bihar,Bihar,Kanti,BIHKAN0011,Govt Upper Primary School Kanti Purwa 11,5,math,division,46.8,56,True
2008,Bihar,Bihar,Kanti,BIHKAN0011,Govt Upper Primary School Kanti Purwa 11,5,reading,story,72.9,56,True
2008,Bihar,Bihar,Minapur,BIHMIN0012,Panchayati Raj Primary School Minapur Nagar 12,5,math,division,30.2,60,True
2008,Bihar,Bihar,Minapur,BIHMIN0012,Panchayati Raj Primary School Minapur Nagar 12,5,reading,story,68.0,60,True
2008,Bihar,Bihar,Motipur,BIHMOT0013,Govt Middle School Motipur Colony 13,5,math,division,43.8,209,True
2008,Bihar,Bihar,Motipur,BIHMOT0013,Govt Middle School Motipur Colony 13,5,reading,story,45.4,209,True
2008,Bihar,Bihar,Sakra,BIHSAK0014,Govt Elementary School Sakra Ward 14,5,math,division,51.8,161,True
2008,Bihar,Bihar,Sakra,BIHSAK0014,Govt Elementary School Sakra Ward 14,5,reading,story,56.4,161,True
2008,Bihar,Bihar,Bochaha,BIHBOC0015,Govt Primary School Bochaha Basti 15,5,math,division,51.2,179,True
2008,Bihar,Bihar,Bochaha,BIHBOC0015,Govt Primary School Bochaha Basti 15,5,reading,story,82.0,179,True
2008,Bihar,Bihar,Aurai,BIHAUR0016,Govt Upper Primary School Aurai Khurd 16,5,math,division,48.0,130,True
2008,Bihar,Bihar,Aurai,BIHAUR0016,Govt Upper Primary School Aurai Khurd 16,5,reading,story,50.5,130,True
2008,Bihar,Bihar,Paroo,BIHPAR0017,Panchayati Raj Primary School Paroo Kalan 17,5,math,division,53.5,199,True
2008,Bihar,Bihar,Paroo,BIHPAR0017,Panchayati Raj Primary School Paroo Kalan 17,5,reading,story,79.1,199,True
2008,Bihar,Bihar,Gaighat,BIHGAI0018,Govt Middle School Gaighat Pura 18,5,math,division,60.9,127,True
2008,Bihar,Bihar,Gaighat,BIHGAI0018,Govt Middle School Gaighat Pura 18,5,reading,story,67.1,127,True
2008,Bihar,Bihar,Sahebganj,BIHSAH0019,Govt Elementary School Sahebganj Chak 19,5,math,division,36.6,182,True
2008,Bihar,Bihar,Sahebganj,BIHSAH0019,Govt Elementary School Sahebganj Chak 19,5,reading,story,55.1,182,True
2008,Bihar,Bihar,Muzaffarpur Sadar,BIHMUZ0020,Govt Primary School Muzaffarpur Sadar Tola 20,5,math,division,39.8,61,True
2008,Bihar,Bihar,Muzaffarpur Sadar,BIHMUZ0020,Govt Primary School Muzaffarpur Sadar Tola 20,5,reading,story,58.1,61,True
2008,Bihar,Bihar,Kanti,BIHKAN0021,Govt Upper Primary School Kanti Purwa 21,5,math,division,58.5,133,True
2008,Bihar,Bihar,Kanti,BIHKAN0021,Govt Upper Primary School Kanti Purwa 21,5,reading,story,60.1,133,True
2008,Bihar,Bihar,Minapur,BIHMIN0022,Panchayati Raj Primary School Minapur Nagar 22,5,math,division,33.3,112,True
2008,Bihar,Bihar,Minapur,BIHMIN0022,Panchayati Raj Primary School Minapur Nagar 22,5,reading,story,50.6,112,True
2008,Bihar,Bihar,Motipur,BIHMOT0023,Govt Middle School Motipur Colony 23,5,math,division,61.0,138,True
2008,Bihar,Bihar,Motipur,BIHMOT0023,Govt Middle School Motipur Colony 23,5,reading,story,86.8,138,True
2008,Bihar,Bihar,Sakra,BIHSAK0024,Govt Elementary School Sakra Ward 24,5,math,division,85.9,204,True
2008,Bihar,Bihar,Sakra,BIHSAK0024,Govt Elementary School Sakra Ward 24,5,reading,story,67.8,204,True
2008,Bihar,Bihar,Bochaha,BIHBOC0025,Govt Primary School Bochaha Basti 25,5,math,division,25.3,73,True
2008,Bihar,Bihar,Bochaha,BIHBOC0025,Govt Primary School Bochaha Basti 25,5,reading,story,66.0,73,True
2008,Bihar,Bihar,Aurai,BIHAUR0026,Govt Upper Primary School Aurai Khurd 26,5,math,division,41.1,160,True
2008,Bihar,Bihar,Aurai,BIHAUR0026,Govt Upper Primary School Aurai Khurd 26,5,reading,story,57.8,160,True
2008,Bihar,Bihar,Paroo,BIHPAR0027,Panchayati Raj Primary School Paroo Kalan 27,5,math,division,49.2,218,True
2008,Bihar,Bihar,Paroo,BIHPAR0027,Panchayati Raj Primary School Paroo Kalan 27,5,reading,story,75.6,218,True
2008,Bihar,Bihar,Gaighat,BIHGAI0028,Govt Middle School Gaighat Pura 28,5,math,division,52.8,132,True
2008,Bihar,Bihar,Gaighat,BIHGAI0028,Govt Middle School Gaighat Pura 28,5,reading,story,60.9,132,True
2008,Bihar,Bihar,Sahebganj,BIHSAH0029,Govt Elementary School Sahebganj Chak 29,5,math,division,30.8,103,True
2008,Bihar,Bihar,Sahebganj,BIHSAH0029,Govt Elementary School Sahebganj Chak 29,5,reading,story,57.0,103,True
2008,Bihar,Bihar,Muzaffarpur Sadar,BIHMUZ0030,Govt Primary School Muzaffarpur Sadar Tola 30,5,math,division,50.3,156,True
2008,Bihar,Bihar,Muzaffarpur Sadar,BIHMUZ0030,Govt Primary School Muzaffarpur Sadar Tola 30,5,reading,story,84.0,156,True
2008,Bihar,Bihar,Kanti,BIHKAN0031,Govt Upper Primary School Kanti Purwa 31,5,math,division,62.7,237,True
2008,Bihar,Bihar,Kanti,BIHKAN0031,Govt Upper Primary School Kanti Purwa 31,5,reading,story,56.8,237,True
2008,Bihar,Bihar,Minapur,BIHMIN0032,Panchayati Raj Primary School Minapur Nagar 32,5,math,division,36.7,201,True
2008,Bihar,Bihar,Minapur,BIHMIN0032,Panchayati Raj Primary School Minapur Nagar 32,5,reading,story,51.2,201,True
2008,Bihar,Bihar,Motipur,BIHMOT0033,Govt Middle School Motipur Colony 33,5,math,division,76.4,69,True
2008,Bihar,Bihar,Motipur,BIHMOT0033,Govt Middle School Motipur Colony 33,5,reading,story,52.9,69,True
2008,Bihar,Bihar,Sakra,BIHSAK0034,Govt Elementary School Sakra Ward 34,5,math,division,61.0,156,True
2008,Bihar,Bihar,Sakra,BIHSAK0034,Govt Elementary School Sakra Ward 34,5,reading,story,52.0,156,True
2008,Bihar,Bihar,Bochaha,BIHBOC0035,Govt Primary School Bochaha Basti 35,5,math,division,55.5,82,True
2008,Bihar,Bihar,Bochaha,BIHBOC0035,Govt Primary School Bochaha Basti 35,5,reading,story,60.9,82,True
2008,Bihar,Bihar,Aurai,BIHAUR0036,Govt Upper Primary School Aurai Khurd 36,5,math,division,50.4,240,True
2008,Bihar,Bihar,Aurai,BIHAUR0036,Govt Upper Primary School Aurai Khurd 36,5,reading,story,54.9,240,True
2008,Bihar,Bihar,Paroo,BIHPAR0037,Panchayati Raj Primary School Paroo Kalan 37,5,math,division,45.4,77,True
2008,Bihar,Bihar,Paroo,BIHPAR0037,Panchayati Raj Primary School Paroo Kalan 37,5,reading,story,48.1,77,True
2008,Bihar,Bihar,Gaighat,BIHGAI0038,Govt Middle School Gaighat Pura 38,5,math,division,35.6,74,True
2008,Bihar,Bihar,Gaighat,BIHGAI0038,Govt Middle School Gaighat Pura 38,5,reading,story,64.9,74,True
2008,Bihar,Bihar,Sahebganj,BIHSAH0039,Govt Elementary School Sahebganj Chak 39,5,math,division,52.8,59,True
2008,Bihar,Bihar,Sahebganj,BIHSAH0039,Govt Elementary School Sahebganj Chak 39,5,reading,story,61.4,59,True
2008,Bihar,Bihar,Muzaffarpur Sadar,BIHMUZ0040,Govt Primary School Muzaffarpur Sadar Tola 40,5,math,division,54.3,197,True
2008,Bihar,Bihar,Muzaffarpur Sadar,BIHMUZ0040,Govt Primary School Muzaffarpur Sadar Tola 40,5,reading,story,78.5,197,True
2008,Bihar,Bihar,Kanti,BIHKAN0041,Govt Upper Primary School Kanti Purwa 41,5,math,division,46.0,44,True
2008,Bihar,Bihar,Kanti,BIHKAN0041,Govt Upper Primary School Kanti Purwa 41,5,reading,story,76.1,44,True
2008,Bihar,Bihar,Minapur,BIHMIN0042,Panchayati Raj Primary School Minapur Nagar 42,5,math,division,56.0,202,True
2008,Bihar,Bihar,Minapur,BIHMIN0042,Panchayati Raj Primary School Minapur Nagar 42,5,reading,story,81.2,202,True
2008,Bihar,Bihar,Motipur,BIHMOT0043,Govt Middle School Motipur Colony 43,5,math,division,36.2,119,True
2008,Bihar,Bihar,Motipur,BIHMOT0043,Govt Middle School Motipur Colony 43,5,reading,story,46.4,119,True
2008,Bihar,Bihar,Sakra,BIHSAK0044,Govt Elementary School Sakra Ward 44,5,math,division,70.7,95,True
2008,Bihar,Bihar,Sakra,BIHSAK0044,Govt Elementary School Sakra Ward 44,5,reading,story,83.5,95,True
2008,Bihar,Bihar,Bochaha,BIHBOC0045,Govt Primary School Bochaha Basti 45,5,math,division,46.3,227,True
2008,Bihar,Bihar,Bochaha,BIHBOC0045,Govt Primary School Bochaha Basti 45,5,reading,story,80.3,227,True
2008,Bihar,Bihar,Aurai,BIHAUR0046,Govt Upper Primary School Aurai Khurd 46,5,math,division,37.6,72,True
2008,Bihar,Bihar,Aurai,BIHAUR0046,Govt Upper Primary School Aurai Khurd 46,5,reading,story,52.1,72,True
2008,Bihar,Bihar,Paroo,BIHPAR0047,Panchayati Raj Primary School Paroo Kalan 47,5,math,division,46.2,249,True
2008,Bihar,Bihar,Paroo,BIHPAR0047,Panchayati Raj Primary School Paroo Kalan 47,5,reading,story,62.7,249,True
2008,Bihar,Bihar,Gaighat,BIHGAI0048,Govt Middle School Gaighat Pura 48,5,math,division,48.9,203,True
2008,Bihar,Bihar,Gaighat,BIHGAI0048,Govt Middle School Gaighat Pura 48,5,reading,story,66.9,203,True
2008,Bihar,Bihar,Sahebganj,BIHSAH0049,Govt Elementary School Sahebganj Chak 49,5,math,division,52.0,76,True
2008,Bihar,Bihar,Sahebganj,BIHSAH0049,Govt Elementary School Sahebganj Chak 49,5,reading,story,70.5,76,True
2008,Chhattisgarh,Chhattisgarh,Block 1,CHHBLO0000,Govt Primary School Block 1 Tola 0,5,math,division,59.1,243,True
2008,Chhattisgarh,Chhattisgarh,Block 1,CHHBLO0000,Govt Primary School Block 1 Tola 0,5,reading,story,66.5,243,True
2008,Chhattisgarh,Chhattisgarh,Block 2,CHHBLO0001,Govt Upper Primary School Block 2 Purwa 1,5,math,division,48.5,65,True
2008,Chhattisgarh,Chhattisgarh,Block 2,CHHBLO0001,Govt Upper Primary School Block 2 Purwa 1,5,reading,story,66.2,65,True
2008,Chhattisgarh,Chhattisgarh,Block 3,CHHBLO0002,Panchayati Raj Primary School Block 3 Nagar 2,5,math,division,67.7,221,True
2008,Chhattisgarh,Chhattisgarh,Block 3,CHHBLO0002,Panchayati Raj Primary School Block 3 Nagar 2,5,reading,story,62.2,221,True
2008,Chhattisgarh,Chhattisgarh,Block 4,CHHBLO0003,Govt Middle School Block 4 Colony 3,5,math,division,59.8,208,True
2008,Chhattisgarh,Chhattisgarh,Block 4,CHHBLO0003,Govt Middle School Block 4 Colony 3,5,reading,story,69.7,208,True
2008,Chhattisgarh,Chhattisgarh,Block 5,CHHBLO0004,Govt Elementary School Block 5 Ward 4,5,math,division,68.5,244,True
2008,Chhattisgarh,Chhattisgarh,Block 5,CHHBLO0004,Govt Elementary School Block 5 Ward 4,5,reading,story,78.9,244,True
2008,Chhattisgarh,Chhattisgarh,Block 6,CHHBLO0005,Govt Primary School Block 6 Basti 5,5,math,division,71.5,103,True
2008,Chhattisgarh,Chhattisgarh,Block 6,CHHBLO0005,Govt Primary School Block 6 Basti 5,5,reading,story,72.7,103,True
2008,Chhattisgarh,Chhattisgarh,Block 7,CHHBLO0006,Govt Upper Primary School Block 7 Khurd 6,5,math,division,57.5,241,True
2008,Chhattisgarh,Chhattisgarh,Block 7,CHHBLO0006,Govt Upper Primary School Block 7 Khurd 6,5,reading,story,76.3,241,True
2008,Chhattisgarh,Chhattisgarh,Block 8,CHHBLO0007,Panchayati Raj Primary School Block 8 Kalan 7,5,math,division,61.1,234,True
2008,Chhattisgarh,Chhattisgarh,Block 8,CHHBLO0007,Panchayati Raj Primary School Block 8 Kalan 7,5,reading,story,64.3,234,True
2008,Chhattisgarh,Chhattisgarh,Block 9,CHHBLO0008,Govt Middle School Block 9 Pura 8,5,math,division,61.6,191,True
2008,Chhattisgarh,Chhattisgarh,Block 9,CHHBLO0008,Govt Middle School Block 9 Pura 8,5,reading,story,96.8,191,True
2008,Chhattisgarh,Chhattisgarh,Block 10,CHHBLO0009,Govt Elementary School Block 10 Chak 9,5,math,division,76.4,69,True
2008,Chhattisgarh,Chhattisgarh,Block 10,CHHBLO0009,Govt Elementary School Block 10 Chak 9,5,reading,story,66.4,69,True
2008,Chhattisgarh,Chhattisgarh,Block 1,CHHBLO0010,Govt Primary School Block 1 Tola 10,5,math,division,46.3,195,True
2008,Chhattisgarh,Chhattisgarh,Block 1,CHHBLO0010,Govt Primary School Block 1 Tola 10,5,reading,story,68.8,195,True
2008,Chhattisgarh,Chhattisgarh,Block 2,CHHBLO0011,Govt Upper Primary School Block 2 Purwa 11,5,math,division,62.3,208,True
2008,Chhattisgarh,Chhattisgarh,Block 2,CHHBLO0011,Govt Upper Primary School Block 2 Purwa 11,5,reading,story,85.0,208,True
2008,Chhattisgarh,Chhattisgarh,Block 3,CHHBLO0012,Panchayati Raj Primary School Block 3 Nagar 12,5,math,division,53.6,100,True
2008,Chhattisgarh,Chhattisgarh,Block 3,CHHBLO0012,Panchayati Raj Primary School Block 3 Nagar 12,5,reading,story,54.8,100,True
2008,Chhattisgarh,Chhattisgarh,Block 4,CHHBLO0013,Govt Middle School Block 4 Colony 13,5,math,division,58.0,214,True
2008,Chhattisgarh,Chhattisgarh,Block 4,CHHBLO0013,Govt Middle School Block 4 Colony 13,5,reading,story,64.5,214,True
2008,Chhattisgarh,Chhattisgarh,Block 5,CHHBLO0014,Govt Elementary School Block 5 Ward 14,5,math,division,79.4,235,True
2008,Chhattisgarh,Chhattisgarh,Block 5,CHHBLO0014,Govt Elementary School Block 5 Ward 14,5,reading,story,69.3,235,True
2008,Chhattisgarh,Chhattisgarh,Block 6,CHHBLO0015,Govt Primary School Block 6 Basti 15,5,math,division,51.6,222,True
2008,Chhattisgarh,Chhattisgarh,Block 6,CHHBLO0015,Govt Primary School Block 6 Basti 15,5,reading,story,73.3,222,True
2008,Chhattisgarh,Chhattisgarh,Block 7,CHHBLO0016,Govt Upper Primary School Block 7 Khurd 16,5,math,division,46.3,242,True
2008,Chhattisgarh,Chhattisgarh,Block 7,CHHBLO0016,Govt Upper Primary School Block 7 Khurd 16,5,reading,story,93.3,242,True
2008,Chhattisgarh,Chhattisgarh,Block 8,CHHBLO0017,Panchayati Raj Primary School Block 8 Kalan 17,5,math,division,47.9,222,True
2008,Chhattisgarh,Chhattisgarh,Block 8,CHHBLO0017,Panchayati Raj Primary School Block 8 Kalan 17,5,reading,story,64.2,222,True
2008,Chhattisgarh,Chhattisgarh,Block 9,CHHBLO0018,Govt Middle School Block 9 Pura 18,5,math,division,85.6,216,True
2008,Chhattisgarh,Chhattisgarh,Block 9,CHHBLO0018,Govt Middle School Block 9 Pura 18,5,reading,story,63.6,216,True
2008,Chhattisgarh,Chhattisgarh,Block 10,CHHBLO0019,Govt Elementary School Block 10 Chak 19,5,math,division,56.2,211,True
2008,Chhattisgarh,Chhattisgarh,Block 10,CHHBLO0019,Govt Elementary School Block 10 Chak 19,5,reading,story,77.2,211,True
2008,Chhattisgarh,Chhattisgarh,Block 1,CHHBLO0020,Govt Primary School Block 1 Tola 20,5,math,division,50.6,80,True
2008,Chhattisgarh,Chhattisgarh,Block 1,CHHBLO0020,Govt Primary School Block 1 Tola 20,5,reading,story,71.9,80,True
2008,Chhattisgarh,Chhattisgarh,Block 2,CHHBLO0021,Govt Upper Primary School Block 2 Purwa 21,5,math,division,66.5,213,True
2008,Chhattisgarh,Chhattisgarh,Block 2,CHHBLO0021,Govt Upper Primary School Block 2 Purwa 21,5,reading,story,78.0,213,True
2008,Chhattisgarh,Chhattisgarh,Block 3,CHHBLO0022,Panchayati Raj Primary School Block 3 Nagar 22,5,math,division,58.3,72,True
2008,Chhattisgarh,Chhattisgarh,Block 3,CHHBLO0022,Panchayati Raj Primary School Block 3 Nagar 22,5,reading,story,61.7,72,True
2008,Chhattisgarh,Chhattisgarh,Block 4,CHHBLO0023,Govt Middle School Block 4 Colony 23,5,math,division,57.4,99,True
2008,Chhattisgarh,Chhattisgarh,Block 4,CHHBLO0023,Govt Middle School Block 4 Colony 23,5,reading,story,71.7,99,True
2008,Chhattisgarh,Chhattisgarh,Block 5,CHHBLO0024,Govt Elementary School Block 5 Ward 24,5,math,division,54.5,80,True
2008,Chhattisgarh,Chhattisgarh,Block 5,CHHBLO0024,Govt Elementary School Block 5 Ward 24,5,reading,story,78.3,80,True
2008,Chhattisgarh,Chhattisgarh,Block 6,CHHBLO0025,Govt Primary School Block 6 Basti 25,5,math,division,68.6,76,True
2008,Chhattisgarh,Chhattisgarh,Block 6,CHHBLO0025,Govt Primary School Block 6 Basti 25,5,reading,story,75.5,76,True
2008,Chhattisgarh,Chhattisgarh,Block 7,CHHBLO0026,Govt Upper Primary School Block 7 Khurd 26,5,math,division,60.0,213,True
2008,Chhattisgarh,Chhattisgarh,Block 7,CHHBLO0026,Govt Upper Primary School Block 7 Khurd 26,5,reading,story,74.1,213,True
2008,Chhattisgarh,Chhattisgarh,Block 8,CHHBLO0027,Panchayati Raj Primary School Block 8 Kalan 27,5,math,division,53.0,106,True
